codigo,horas_semanales,horas_semanales_profe,horas_semanales_grupo,grupo,profesor,materia,aula,1,2,3,4,5,6,fecha_inicio,fecha_final,7,8,9,aula_propia,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
3108,1,1,1,"2INS A","10","532","B1",,30,1.00000,,,,"20160706","20170630",0.00520,,,"B1",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3107,1,1,1,"2INS A","10","532","E9",,30,1.00000,,,,"20160706","20170630",0.00520,,,"E9",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3110,3,3,3,"1ASIX-DAM","10","4","20.6",,30,6.00000,,,,"20160706","20170630",0.03120,,,"20.6",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3110,3,3,0,"1DEP","10","971","20.6",,0,6.00000,,,,"20160706","20170630",0.03120,,,"20.6",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3109,2,2,2,"1ASIX-DAM","10","452","E16",,55,6.00000,,,,"20160706","20170630",0.03120,,,"E16",,,,"n",,,"F",,,,,,,0,0,,,,,200000,2.00000,,,
3109,2,2,0,"2PRO","10","474","E16",,0,6.00000,,,,"20160706","20170630",0.03120,,,"E16",,,,"n",,,"F",,,,,,,0,0,,,,,200000,2.00000,,,
3109,2,2,0,"2PPFM","10","494","E16",,0,6.00000,,,,"20160706","20170630",0.03120,,,"E16",,,,"n",,,"F",,,,,,,0,0,,,,,200000,2.00000,,,
3111,1,1,1,"CAS A","110","73","21",,23,1.00000,,,,"20160706","20170630",0.00520,,,"21",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3111,1,1,0,"CAS B","110","73","21",,23,1.00000,,,,"20160706","20170630",0.00520,,,"21",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3111,1,0,1,"CAS A","11","402","25",,0,1.00000,,,,"20160706","20170630",0.00520,,,"25",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3111,1,0,0,"CAS B","11","402","25",,0,1.00000,,,,"20160706","20170630",0.00520,,,"25",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3111,1,0,1,"CAS A","03","71","28",,0,1.00000,,,,"20160706","20170630",0.00520,,,"28",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3111,1,0,0,"CAS B","03","71","28",,0,1.00000,,,,"20160706","20170630",0.00520,,,"28",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3112,1,1,1,"CAS A","08","73","21",,23,1.00000,,,,"20160706","20170630",0.00520,,,"21",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3112,1,1,0,"CAS B","08","73","21",,23,1.00000,,,,"20160706","20170630",0.00520,,,"21",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3112,1,0,1,"CAS A","11","402","25",,0,1.00000,,,,"20160706","20170630",0.00520,,,"25",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3112,1,0,0,"CAS B","11","402","25",,0,1.00000,,,,"20160706","20170630",0.00520,,,"25",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3112,1,0,1,"CAS A","03","71","28",,0,1.00000,,,,"20160706","20170630",0.00520,,,"28",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3112,1,0,0,"CAS B","03","71","28",,0,1.00000,,,,"20160706","20170630",0.00520,,,"28",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3114,2,2,2,"CAIA","03","19","18",,35,2.00000,,,,"20160706","20170630",0.01040,,,"18",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3113,2,2,2,"CAIA","03","15","18",,35,2.00000,,,,"20160706","20170630",0.01040,,,"18",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3116,2,2,2,"CAIB","03","19","12",,35,2.00000,,,,"20160706","20170630",0.01040,,,"12",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3115,2,2,2,"CAIB","03","15","12",,35,2.00000,,,,"20160706","20170630",0.01040,,,"12",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3119,2,2,2,"1DIE","12","21","E7",,30,2.00000,,,,"20160706","20170630",0.01040,,,"E7",,,,"n",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,
3121,3,3,3,"1GAD","12","35","32",,30,3.00000,,,,"20160706","20170630",0.01560,,,"32",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,
