clase,grupo,profesor,materia,aula,dia,hora,duracion
3212,"2PPFM","52","247","E15",4,2,,
3212,"2PPFM","52","247","E15",4,3,,
3212,"2PPFM","52","247","E15",5,5,,
3213,"2PPFM","51","251","E15",2,1,,
3213,"2PPFM","51","251","E15",4,4,,
3213,"2PPFM","51","251","E15",4,5,,
3214,"2SIC","50","232","TS",5,9,,
3214,"2SIC","50","232","TS",5,10,,
3215,"2SIC","59","231","TS",3,8,,
3215,"2SIC","59","231","TS",3,9,,
3215,"2SIC","59","231","TS",3,10,,
3215,"2SIC","59","231","TS",3,11,,
3215,"2SIC","59","231","TS",3,12,,
3215,"2SIC","59","231","TS",5,7,,
3215,"2SIC","59","231","TS",5,8,,
3216,"2SIC","59","234","TS",1,10,,
3216,"2SIC","59","234","TS",1,11,,
3216,"2SIC","59","234","TS",2,7,,
3216,"2SIC","59","234","TS",2,8,,
3216,"2SIC","59","234","TS",2,9,,
3216,"2SIC","59","234","TS",4,10,,
3216,"2SIC","59","234","TS",4,11,,
3217,"2SIC","58","235","TS",1,7,,
3217,"2SIC","58","235","TS",1,8,,
3217,"2SIC","58","235","TS",1,9,,
3217,"2SIC","58","235","E15",4,7,,
3217,"2SIC","58","235","E15",4,8,,
3217,"2SIC","58","235","TS",4,9,,
3218,"2SIC","59","236","TS",2,10,,
3218,"2SIC","59","236","TS",2,11,,
3219,"2PRO","48","473","Tut.2",2,1,,
3219,"2PRO","48","473","Tut.2",2,2,,
3219,"2PRO","48","473","Tut.2",2,5,,
3219,"2PRO","48","473","Tut.2",3,1,,
3219,"2PRO","48","473","Tut.2",3,2,,
3219,"2PRO","48","473","Tut.2",4,1,,
3219,"2PRO","48","473","Tut.2",4,2,,
3219,"2PRO","48","473","Tut.2",4,3,,
3220,"2PRO","48","460","Tut.2",1,3,,
3220,"2PRO","48","460","Tut.2",1,4,,
3220,"2PRO","48","460","Tut.2",1,5,,
3220,"2PRO","48","460","Tut.2",5,1,,
3220,"2PRO","48","460","Tut.2",5,2,,
3221,"2PRO","48","459","Tut.2",5,4,,
3222,"2PRO","47","446","Tut.2",4,4,,
3222,"2PRO","47","446","Tut.2",4,5,,
3222,"2PRO","47","446","Tut.2",5,3,,
3223,"2PRO","47","447","Tut.2",2,3,,
3223,"2PRO","47","447","Tut.2",2,4,,
3223,"2PRO","47","447","Tut.2",3,3,,
3223,"2PRO","47","447","Tut.2",3,4,,
3224,"1IEA","35","432","TE 1",1,5,,
3224,"1IEA","35","432","TE 1",1,6,,
3224,"1IEA","35","432","TE 1",2,3,,
